dataset,mean_f1,std_f1
breast_cancer,0.9716688718519991,0.0014035479784271624
iris,0.9678939746634355,0.002951255415926711
mnist,0.9179288232095633,0.015941547754435906
wine,0.9900799685061275,0.0033004901149820336
