round,method,score,best_score,params,controller_values,controller_counts
2,sh,0.9763624800825129,0.9596446416560066,"{'n_estimators': 100, 'max_depth': 20}","{'random': np.float64(0.9095552394926523), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9527249601650258), 'hb': 0.0}","{'random': 1, 'optuna': 1, 'sh': 1, 'hb': 0}"
3,hb,0.954889501661182,0.9763624800825129,"{'n_estimators': 249, 'max_depth': 13}","{'random': np.float64(0.9095552394926523), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9527249601650258), 'hb': np.float64(0.909779003322364)}","{'random': 1, 'optuna': 1, 'sh': 1, 'hb': 1}"
4,sh,0.9634752747252747,0.9763624800825129,"{'n_estimators': 300, 'max_depth': 20}","{'random': np.float64(0.9095552394926523), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9398377548077876), 'hb': np.float64(0.909779003322364)}","{'random': 1, 'optuna': 1, 'sh': 2, 'hb': 1}"
5,sh,0.9577014174678569,0.9763624800825129,"{'n_estimators': 300, 'max_depth': 20}","{'random': np.float64(0.9095552394926523), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9316927815170963), 'hb': np.float64(0.909779003322364)}","{'random': 1, 'optuna': 1, 'sh': 3, 'hb': 1}"
6,random,0.9573597639841961,0.9763624800825129,"{'n_estimators': 150, 'max_depth': 10}","{'random': np.float64(0.9121373837305222), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9316927815170963), 'hb': np.float64(0.909779003322364)}","{'random': 2, 'optuna': 1, 'sh': 3, 'hb': 1}"
7,sh,0.9648248822383805,0.9763624800825129,"{'n_estimators': 100, 'max_depth': 20}","{'random': np.float64(0.9121373837305222), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9311820272570125), 'hb': np.float64(0.909779003322364)}","{'random': 2, 'optuna': 1, 'sh': 4, 'hb': 1}"
8,sh,0.9634651580545717,0.9763624800825129,"{'n_estimators': 300, 'max_depth': 20}","{'random': np.float64(0.9121373837305222), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9303316850274387), 'hb': np.float64(0.909779003322364)}","{'random': 2, 'optuna': 1, 'sh': 5, 'hb': 1}"
9,sh,0.9634752747252747,0.9763624800825129,"{'n_estimators': 300, 'max_depth': 15}","{'random': np.float64(0.9121373837305222), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9297681624312905), 'hb': np.float64(0.909779003322364)}","{'random': 2, 'optuna': 1, 'sh': 6, 'hb': 1}"
10,sh,0.9634752747252747,0.9763624800825129,"{'n_estimators': 300, 'max_depth': 15}","{'random': np.float64(0.9121373837305222), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9293656462911846), 'hb': np.float64(0.909779003322364)}","{'random': 2, 'optuna': 1, 'sh': 7, 'hb': 1}"
11,random,0.9550151998222445,0.9763624800825129,"{'n_estimators': 150, 'max_depth': 10}","{'random': np.float64(0.9114350557018445), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9293656462911846), 'hb': np.float64(0.909779003322364)}","{'random': 3, 'optuna': 1, 'sh': 7, 'hb': 1}"
12,sh,0.9634752747252747,0.9763624800825129,"{'n_estimators': 100, 'max_depth': 15}","{'random': np.float64(0.9114350557018445), 'optuna': 0.9192892833120132, 'sh': np.float64(0.9290637591861052), 'hb': np.float64(0.909779003322364)}","{'random': 3, 'optuna': 1, 'sh': 8, 'hb': 1}"
