"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","C","budget","class_balance","criterion","dataset","feature_correlation_mean","feature_kurtosis","feature_skew_mean","feature_skewness","feature_std_mean","kernel","max_depth","method","n_estimators","n_features","n_rounds","n_samples","noise_indicator","run_id","seed","best_score","best_so_far","round_time","score","used_hb","used_optuna","used_random","used_sh"
"2025-12-13 05:14:15","1.3min","1a84e25efcf24a1ca68fa65fe1f78583","bittersweet-wolf-218","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","b3ea365a","32","0.971211841672762","0.971211841672762","1.1975340843200684","0.9595951225072737","1","1","1","1"
"2025-12-13 05:14:10","5.3s","b32fc2cd231849afaf43e76240f56a35","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","11","optuna_only","92","","","","","","31","0.9619273209791132","","","","","","",""
"2025-12-13 05:13:00","1.2min","2ed290f642514468ac3c20d598f8ce84","adorable-lark-115","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","a96c6604","31","0.971211841672762","0.971211841672762","0.20095109939575195","0.971211841672762","1","1","1","1"
"2025-12-13 05:12:54","5.9s","63c7c6b28e4640ce8ed31ca1b3ad0da3","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","27","optuna_only","156","","","","","","30","0.9594323163126598","","","","","","",""
"2025-12-13 05:11:40","1.2min","62b3c4aa270b4636ad9ecd459945e807","worried-auk-636","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","c9d1680a","30","0.971211841672762","0.971211841672762","0.2025759220123291","0.971211841672762","1","1","1","1"
"2025-12-13 04:40:58","5.7s","ae872ced80dc413585108092afda9317","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","11","optuna_only","144","","","","","","29","0.9619273209791132","","","","","","",""
"2025-12-13 04:39:45","1.2min","d5b42952d57046d9943cd3dca95fd4aa","treasured-boar-354","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","7238b969","29","0.971211841672762","0.971211841672762","2.2879722118377686","0.9572988680059674","1","1","1","1"
"2025-12-13 04:39:39","6.4s","738f38dab1b04cd8b14ef7b5c6564cc6","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","24","optuna_only","152","","","","","","28","0.9619768137957942","","","","","","",""
"2025-12-13 04:38:25","1.2min","b141972713434623b9c247ab1dbbc95d","capable-skunk-133","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","9f6c5642","28","0.971211841672762","0.971211841672762","0.8034391403198242","0.971211841672762","1","1","1","1"
"2025-12-13 04:38:19","6.0s","0de0ccc78f264aab9a0a6ff0b9f5aad7","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","13","optuna_only","194","","","","","","27","0.9573043697808735","","","","","","",""
"2025-12-13 04:37:08","1.2min","02880f27c92c4442aedfcf11dce1f48b","sedate-sheep-283","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","b44fc1c3","27","0.971211841672762","0.971211841672762","0.20388102531433105","0.971211841672762","1","1","1","1"
"2025-12-13 04:37:03","5.4s","b751eb16aa90492ab5bddbe9c5d79d83","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","14","optuna_only","53","","","","","","26","0.954889501661182","","","","","","",""
"2025-12-13 04:35:50","1.2min","7bab56b3b5a24fe0849d4ca26f75e6ac","exultant-roo-210","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","f4860cc9","26","0.971211841672762","0.971211841672762","1.817406177520752","0.9572532827071284","1","1","1","1"
"2025-12-13 04:35:45","4.9s","e7995d4b742141eabcd600ff16120247","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","28","optuna_only","68","","","","","","25","0.9620653848302877","","","","","","",""
"2025-12-13 04:34:34","1.2min","90a5ba27d9f644998f86ab52e1011ccf","omniscient-smelt-949","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","5150b4cc","25","0.971211841672762","0.971211841672762","2.5634498596191406","0.9621686376790147","1","1","1","1"
"2025-12-13 04:34:29","5.5s","eb45d0bfdbce4ec69b9b0860f1ff1104","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","16","optuna_only","82","","","","","","24","0.9620914698060687","","","","","","",""
"2025-12-13 04:33:15","1.2min","7e90e2ee2669427ca694e7958d8579bb","overjoyed-steed-596","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","248933ef","24","0.971211841672762","0.971211841672762","0.7594518661499023","0.971211841672762","1","1","1","1"
"2025-12-13 04:33:09","5.8s","3f54e135985b4aea9d51248c6a1d06dc","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","8","optuna_only","77","","","","","","23","0.9572532827071284","","","","","","",""
"2025-12-13 04:31:55","1.2min","3b724a4a035b44b98385ee600f29d136","judicious-turtle-849","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","e4313c9a","23","0.971211841672762","0.971211841672762","0.20269012451171875","0.971211841672762","1","1","1","1"
"2025-12-13 04:31:50","4.7s","8850253b207842939ad9959101dda038","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","14","optuna_only","53","","","","","","22","0.9668024977574626","","","","","","",""
"2025-12-13 04:30:36","1.2min","53b6241afbef4a2396c63ed38d692335","classy-eel-24","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","22ab454e","22","0.971211841672762","0.971211841672762","0.2044389247894287","0.971211841672762","1","1","1","1"
"2025-12-13 04:30:31","5.1s","97ed95a830f445d793e466378604dd7c","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","20","optuna_only","96","","","","","","21","0.9597479971876398","","","","","","",""
"2025-12-13 04:29:17","1.2min","074e161aaa814ea2ae86cebd6c868da9","dashing-horse-706","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","5d98e7e4","21","0.971211841672762","0.971211841672762","2.218768835067749","0.9621214652780591","1","1","1","1"
"2025-12-13 04:29:12","5.1s","8afd44a18d0b4de0b2064f1309a14398","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","gini","","","","","","","","19","optuna_only","50","","","","","","20","0.9572493488572346","","","","","","",""
"2025-12-13 04:27:59","1.2min","edcc609ee40c4d62886c6604b085b119","colorful-fawn-690","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","e06b4b77","20","0.971211841672762","0.971211841672762","2.629240036010742","0.9550998392192197","1","1","1","1"
"2025-12-13 04:27:35","5.8s","9ef8eb20083749ffa5cc32c25c7d08de","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","gini","","","","","","","","26","optuna_only","162","","","","","","19","0.959581547329074","","","","","","",""
"2025-12-13 04:26:20","1.2min","af75e0d80a3945ef804f38ec59035f4a","angry-snake-916","LOCAL","src/main.py","francoramirez","FINISHED","","","0.6285714285714286","entropy","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","","20","","200","30","20","455","1.0245074903900662","0af0c723","19","0.9763624800825129","0.9763624800825129","2.5527288913726807","0.9598403730570692","1","1","1","1"
"2025-12-13 04:26:14","5.9s","2464029f2b6044df81b52da6b657459a","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","gini","","","","","","","","10","optuna_only","133","","","","","","18","0.9619273209791132","","","","","","",""
"2025-12-13 04:25:00","1.2min","4765816d852c44f4b76a49956b0a372a","dazzling-cod-677","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","dbcec74a","18","0.971211841672762","0.971211841672762","2.398954153060913","0.9575093608599835","1","1","1","1"
"2025-12-13 04:24:54","6.4s","79c996d6a91a4deabd2e988889387bdc","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","6","optuna_only","153","","","","","","17","0.9644681272689709","","","","","","",""
"2025-12-13 04:23:41","1.2min","01040867ca524202b67246975538f864","stately-horse-826","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","2d387547","17","0.971211841672762","0.971211841672762","0.20310020446777344","0.971211841672762","1","1","1","1"
"2025-12-13 04:23:35","5.1s","35e7116460bd4391909b4ff3c02eebf0","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","gini","","","","","","","","18","optuna_only","108","","","","","","16","0.9573913465583029","","","","","","",""
"2025-12-13 04:22:17","1.3min","a11aac2f7ad34cefb477b2d0be1f2c1b","nebulous-lark-492","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","f810a4e9","16","0.971211841672762","0.971211841672762","2.1424269676208496","0.9597196111802485","1","1","1","1"
"2025-12-13 04:22:12","4.8s","c3f9e8c604f5442caa5630a1e8c753cb","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","20","optuna_only","77","","","","","","15","0.9574642263210107","","","","","","",""
"2025-12-13 04:20:56","1.3min","521a4aa588e14078800b40298e97f05f","flawless-ape-533","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","573333f8","15","0.971211841672762","0.971211841672762","2.532560110092163","0.9571026544722038","1","1","1","1"
"2025-12-13 04:20:50","6.1s","d4d1ad87e3594d9c97a13fbe1bec746f","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","14","optuna_only","180","","","","","","14","0.9645144113290539","","","","","","",""
"2025-12-13 04:19:37","1.2min","ba9219a411f54878969bd8aba6c6ea8f","calm-pug-719","LOCAL","src/main.py","francoramirez","FINISHED","","","0.6285714285714286","entropy","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","","None","","50","30","20","455","1.0245074903900662","e4ec0bf0","14","0.9755794292253773","0.9755794292253773","0.2062368392944336","0.971211841672762","1","1","1","1"
"2025-12-13 04:19:32","4.8s","167a41a928f54706a4f8cf5a34d0d9cf","optuna_baseline","LOCAL","src/main.py","francoramirez","FINISHED","","20","","entropy","","","","","","","","27","optuna_only","58","","","","","","13","0.9646305610791425","","","","","","",""
"2025-12-13 04:18:15","1.3min","eec7d5e803e44a94a6bf4eb597dcce44","illustrious-fly-701","LOCAL","src/main.py","francoramirez","FINISHED","1","","0.6285714285714286","","breast_cancer","0.4105670163435935","8.002314651923099","1.7874191668790844","1.7874191668790844","1.0080464981038788","rbf","","","","30","20","455","1.0245074903900662","8ed74b56","13","0.971211841672762","0.971211841672762","0.7668290138244629","0.971211841672762","1","1","1","1"
